### Answer of Query 1 ###
70 | Carlson,Suarez | green | male
46 | Dotson,Wong | green | male
46 | Franco,Stafford | blue | male
46 | Gregory,Beverly | blue | female
46 | Higgins,Nielsen | blue | male
46 | Huffman,Foley | blue | male
46 | Jennings,Hallie | blue | female
46 | Joyce,Lela | green | female
46 | Patel,Gaines | green | male
46 | Sanford,Crosby | blue | male
46 | Shaffer,Taylor | green | male
46 | Short,Carmella | brown | female
46 | Tanner,Joanne | blue | female
45 | Allison,Ellen | green | female
45 | Barker,Linda | green | female
45 | Benson,Abby | green | female
45 | Burns,Huber | brown | male
45 | Duffy,Melinda | blue | female
45 | Espinoza,Joyce | green | male
45 | Gonzalez,Freida | blue | female
45 | Gray,Lorena | blue | female
45 | Gregory,Washington | brown | male
45 | Mayer,Shana | brown | female
45 | Mcdaniel,Cathy | brown | female
45 | Melton,Ashlee | green | female
45 | Patrick,Diann | blue | female
45 | Riley,Antoinette | brown | female
45 | Salinas,Pacheco | brown | male
45 | Sandoval,Ora | green | female
45 | Scott,Fanny | blue | female
45 | Short,Cassandra | green | female
44 | Bender,Price | green | male
44 | Bender,Roseann | blue | female
44 | Figueroa,Noel | green | male
44 | Holloway,Walsh | brown | male
44 | Justice,Mcconnell | blue | male
44 | Owens,Rebekah | brown | female
44 | Powell,Griffin | green | male
44 | Rasmussen,Catalina | brown | female
44 | Salazar,Jan | blue | female
44 | Skinner,Nunez | green | male
44 | Wyatt,Terri | green | female
43 | Dejesus,Lopez | brown | male
43 | Dickerson,Morgan | green | male
43 | Edwards,Hodges | blue | male
43 | Hammond,Hess | blue | male
43 | Houston,Yvonne | brown | female
43 | Jacobs,Molly | green | female
43 | Knight,Tanya | blue | female
43 | Lynn,Coleman | brown | male
43 | Mayer,Munoz | brown | male
43 | Montoya,Franklin | blue | male
43 | Pacheco,Brady | green | male
43 | Ramos,Cindy | brown | female
43 | Stevens,Guadalupe | brown | female
43 | Stone,Hobbs | green | male
43 | Sykes,Jenny | blue | female
43 | Turner,Frazier | blue | male
43 | Wilson,Odessa | brown | female
43 | Witt,Eaton | blue | male
42 | Benjamin,Herminia | green | female
42 | Burke,Arnold | brown | male
42 | Cannon,Mandy | green | female
42 | Cervantes,Lynne | blue | female
42 | Gallegos,William | brown | male
42 | Harvey,Viola | blue | female
42 | Hernandez,Maria | blue | female
42 | Hill,Faith | green | female
42 | Horn,Sallie | blue | female
42 | James,Martha | green | female
42 | Kirby,Shawna | brown | female
42 | Langley,Tommie | green | female
42 | Larson,Francine | blue | female
42 | Mathis,Estelle | brown | female
42 | Newman,Robbie | brown | female
42 | Norman,Rojas | brown | male
42 | Olson,Greta | brown | female
42 | Reed,Fannie | green | female
42 | Rojas,Bishop | blue | male
42 | Underwood,Stone | brown | male
42 | Ware,Avery | green | male
42 | Weiss,Randi | green | female
41 | Barnett,Dina | brown | female
41 | Barrett,Allyson | green | female
41 | Beard,Leanne | blue | female
41 | Bentley,Dominique | brown | female
41 | Estrada,Marquez | blue | male
41 | Gallegos,Iva | green | female
41 | Galloway,Parker | blue | male
41 | Goff,Irwin | brown | male
41 | Maddox,Tamra | brown | female
41 | Martin,Pam | green | female
41 | Mcclure,Head | green | male
41 | Mcleod,Puckett | brown | male
41 | Meyers,Lindsay | blue | male
41 | Morrow,Stevenson | brown | male
41 | Patterson,Bernadine | brown | female
41 | Patton,Ronda | blue | female
41 | Shepard,Charles | blue | male
41 | Simpson,Cassie | brown | female
41 | Sweeney,Bradley | green | male
40 | Cervantes,Dudley | brown | male
40 | Clayton,Jaime | green | female
40 | Cooper,Karen | brown | female
40 | Dunlap,Vonda | blue | female
40 | Gardner,Magdalena | blue | female
40 | Glenn,Bridget | brown | female
40 | Mckay,Evangeline | brown | female
40 | Pacheco,Weaver | brown | male
40 | Parrish,Bernadette | green | female
40 | Perez,Savannah | blue | female
40 | Russo,Sexton | brown | male
40 | Rutledge,Mcbride | brown | male
40 | Shaw,Reeves | blue | male
40 | Vang,Moon | green | male
39 | Ayers,Rowland | green | male
39 | Bartlett,Jean | brown | female
39 | Bray,Dixie | blue | female
39 | Clark,Effie | blue | female
39 | Hampton,Ferguson | brown | male
39 | Head,Marci | blue | female
39 | Huber,Lowe | blue | male
39 | Kramer,Beulah | blue | female
39 | Long,Desiree | brown | female
39 | Martin,Mccarty | blue | male
39 | Morgan,Goldie | green | female
39 | Murray,Duffy | green | male
39 | Paul,Sharron | green | female
39 | Pennington,Margarita | blue | female
39 | Phelps,Barry | blue | male
39 | Ramirez,Margo | brown | female
39 | Ramos,Carrillo | blue | male
39 | Ratliff,Marva | brown | female
39 | Rodriquez,Sargent | green | male
39 | Rosales,Sheri | green | female
39 | Snow,Orr | blue | male
38 | Beach,Pauline | green | female
38 | Bernard,Lorie | green | female
38 | Chen,Christine | green | female
38 | Chen,Laurel | blue | female
38 | Gaines,Ruby | brown | female
38 | Gilbert,Watson | blue | male
38 | Glover,Decker | green | male
38 | Greer,Juana | green | female
38 | Hancock,Paulette | blue | female
38 | Mills,Lang | blue | male
38 | Patel,Loretta | brown | female
38 | Romero,Alvarado | blue | male
38 | Schroeder,Sybil | brown | female
37 | Baker,Gould | brown | male
37 | Bentley,Mcdonald | blue | male
37 | Blankenship,Cardenas | blue | male
37 | Bryant,Edna | blue | female
37 | Cain,Christi | brown | female
37 | Calhoun,Briana | brown | female
37 | Clark,Cynthia | blue | female
37 | Curry,Walker | brown | male
37 | Finley,Gordon | brown | male
37 | Gilmore,Dorothea | brown | female
37 | Greene,Chapman | brown | male
37 | Grimes,Enid | green | female
37 | Hammond,Callahan | brown | male
37 | Hatfield,Paulette | blue | female
37 | Henson,Celina | brown | female
37 | Johnson,Barrett | blue | male
37 | Larson,Cross | brown | male
37 | Marshall,Snider | green | male
37 | Mayo,Galloway | green | male
37 | Mcgowan,Henrietta | brown | female
37 | Mitchell,Gentry | blue | male
37 | Moody,Hilary | blue | female
37 | Nguyen,Constance | brown | female
37 | Nieves,Ophelia | green | female
37 | Reese,Todd | brown | male
37 | Robles,Billie | green | female
36 | Castro,Jana | blue | female
36 | Chang,Colette | blue | female
36 | Dixon,Tabitha | blue | female
36 | Flowers,Browning | brown | male
36 | Ford,Melanie | blue | female
36 | Francis,Fowler | blue | male
36 | Hunt,Christa | blue | female
36 | Lucas,Gonzalez | green | male
36 | Mueller,Raquel | blue | female
36 | Mullins,Leon | green | male
36 | Parks,Kathleen | brown | female
36 | Prince,Carter | green | male
36 | Rodgers,Zelma | green | female
36 | Shannon,Mcfadden | brown | male
36 | Silva,Bradshaw | blue | male
36 | Singleton,Lindsey | brown | female
36 | Wheeler,Morgan | brown | female
36 | Wood,Conway | brown | male
35 | Bridges,Winnie | brown | female
35 | Cochran,Jenna | blue | female
35 | Everett,Hickman | blue | male
35 | Farrell,Owen | blue | male
35 | Hayden,Minnie | brown | female
35 | Johnston,Kelsey | brown | female
35 | Jones,Jody | green | female
35 | Mclaughlin,Blake | green | male
35 | Park,Mays | blue | male
35 | Puckett,Valencia | blue | male
35 | Rush,Carney | green | male
35 | Sears,Mcintosh | green | male
35 | Sweeney,Villarreal | brown | male
35 | Velazquez,Kayla | green | female
35 | Ward,Nixon | blue | male
35 | Yates,Gabrielle | brown | female
34 | Aguilar,Odonnell | blue | male
34 | Bartlett,Gilmore | blue | male
34 | Chang,Beatrice | brown | female
34 | Drake,Guzman | brown | male
34 | Finley,Angeline | brown | female
34 | Good,Kerr | green | male
34 | Hale,Dunlap | green | male
34 | Hester,Castillo | blue | male
34 | Hoffman,Vaughn | brown | male
34 | Huff,Sweeney | brown | male
34 | Kline,Joni | brown | female
34 | Luna,Fitzpatrick | blue | male
34 | Maddox,Katrina | blue | female
34 | Matthews,Clay | green | male
34 | Meadows,Ford | brown | male
34 | Neal,Reid | blue | male
34 | Oliver,Chrystal | brown | female
34 | Pace,Beck | blue | male
34 | Shields,Karyn | blue | female
34 | Sloan,Trujillo | blue | male
34 | Spencer,Cruz | blue | male
34 | William,Mejia | brown | male
34 | Wood,Wooten | green | male
33 | Andrews,Miranda | brown | male
33 | Campos,Nichole | green | female
33 | Cantrell,Roberts | green | male
33 | Dale,Arlene | green | female
33 | Duran,Carolyn | brown | female
33 | Herring,Sharlene | brown | female
33 | House,Leanna | blue | female
33 | Houston,Esperanza | green | female
33 | Kelly,Alexandria | green | female
33 | Mcmahon,Talley | green | male
33 | Mcmillan,Denise | brown | female
33 | Murray,Mullins | green | male
33 | Pope,Aimee | green | female
33 | Thornton,Graham | green | male
32 | Conner,Jessie | green | female
32 | Duke,Becky | brown | female
32 | Ellis,Stacey | brown | female
32 | Gonzalez,Sellers | green | male
32 | Hinton,Sharp | brown | male
32 | Leblanc,Chavez | brown | male
32 | Marks,Love | green | male
32 | Palmer,Lorna | blue | female
32 | Pruitt,Mccoy | blue | male
32 | Russell,Elisa | brown | female
32 | Small,Hooper | green | male
32 | Valentine,Angelia | brown | female
32 | Zamora,Hinton | brown | male
31 | Ball,Mcgee | blue | male
31 | Cobb,Charlotte | blue | female
31 | Conner,Robyn | brown | female
31 | Cotton,Melba | brown | female
31 | Dean,Wilkins | blue | male
31 | Ewing,Cherry | brown | male
31 | Haley,Simone | brown | female
31 | Hood,Simone | brown | female
31 | Kent,Mavis | blue | female
31 | Kirkland,Mai | green | female
31 | Lawson,Elvira | green | female
31 | Michael,Walters | blue | male
31 | Miller,Trina | green | female
31 | Montoya,Dominguez | brown | male
31 | Pittman,Harrell | green | male
31 | Roth,Margaret | blue | female
31 | Russell,Kenya | green | female
31 | Sanders,Stephanie | blue | female
31 | Santiago,Crystal | brown | female
31 | Webster,Christian | brown | female
31 | Winters,Darlene | brown | female
31 | Wright,Shawn | blue | female
30 | Baldwin,Gentry | brown | male
30 | Beasley,Deirdre | brown | female
30 | Blair,Patricia | green | female
30 | Day,Annmarie | blue | female
30 | Frank,Stevenson | brown | male
30 | Gillespie,Mara | brown | female
30 | Hood,Luann | green | female
30 | Jarvis,Mary | brown | female
30 | Jarvis,Molina | brown | male
30 | Maldonado,Lena | green | female
30 | Mcclain,Gina | blue | female
30 | Montgomery,Davis | brown | male
30 | Reyes,Ward | blue | male
30 | Roy,Susie | brown | female
30 | Silva,Michelle | blue | female
30 | Weber,Fields | green | male
29 | Anthony,Singleton | brown | male
29 | Avery,Valenzuela | green | male
29 | Barr,Ebony | brown | female
29 | Bradshaw,Alyce | blue | female
29 | Burnett,Francis | green | male
29 | Campos,Combs | brown | male
29 | Church,Audrey | brown | female
29 | Daugherty,Hicks | brown | male
29 | Delacruz,Kimberly | brown | female
29 | Dodson,Cantrell | brown | male
29 | Fisher,Holmes | brown | male
29 | Frank,Madge | brown | female
29 | French,Rebekah | brown | female
29 | Glass,Jo | blue | female
29 | Lane,Judith | green | female
29 | Lindsay,Sykes | blue | male
29 | Oneill,Chrystal | brown | female
29 | Reese,Cherry | green | female
29 | Reid,Wilma | green | female
29 | Reynolds,Tamera | green | female
29 | Salazar,Tyson | blue | male
29 | Torres,Shannon | green | male
29 | Tyler,Isabelle | brown | female
29 | Wade,Hays | green | male
29 | Wagner,Anastasia | blue | female
29 | Whitney,Melinda | brown | female
29 | Wilkins,Sara | brown | female
29 | Yang,Ballard | brown | male
28 | Carver,Cleo | blue | female
28 | Cummings,Leta | brown | female
28 | David,Mercer | green | male
28 | Garza,West | blue | male
28 | Gomez,Traci | green | female
28 | Gould,Molina | brown | male
28 | Griffin,Ingram | blue | male
28 | Hart,Juarez | brown | male
28 | Holden,Lisa | brown | female
28 | Howe,Ines | green | female
28 | Hull,Walter | blue | male
28 | Kline,Herman | brown | male
28 | Mills,Elba | green | female
28 | Reed,Aileen | blue | female
28 | Rojas,Kemp | blue | male
28 | Sheppard,Peterson | green | male
28 | Whitaker,Becker | green | male
27 | Benton,Hurst | green | male
27 | Calderon,Frankie | green | female
27 | Cohen,Julia | brown | female
27 | Dillard,Pamela | brown | female
27 | George,Beulah | blue | female
27 | Hays,Olive | blue | female
27 | Hooper,Mcmahon | green | male
27 | Hyde,Joyner | blue | male
27 | Mccall,Turner | blue | male
27 | Mclaughlin,Greene | green | male
27 | Myers,Henry | green | male
27 | Watson,Wood | green | male
27 | Wyatt,Rios | brown | male
26 | Burch,Ramsey | brown | male
26 | Daniel,Hull | green | male
26 | Frederick,Geraldine | brown | female
26 | Gallagher,Harmon | blue | male
26 | Gallegos,Robertson | blue | male
26 | Galloway,Aline | green | female
26 | Garner,Lowery | brown | male
26 | Hurst,Boyd | green | male
26 | Morgan,Nannie | green | female
26 | Owen,Cobb | brown | male
26 | Randall,Lowe | green | male
26 | Richmond,Stephens | brown | male
26 | Santos,Harrison | blue | male
26 | Serrano,Virgie | green | female
26 | Shepard,Mckenzie | green | male
26 | Welch,Deann | brown | female
25 | Bass,Morin | blue | male
25 | Buckley,Kate | blue | female
25 | Harding,Baxter | blue | male
25 | Harrington,Keri | blue | female
25 | Hess,Gallegos | brown | male
25 | Howe,Delgado | blue | male
25 | Howe,Jayne | blue | female
25 | Klein,England | green | male
25 | Knowles,Goodman | green | male
25 | Mcbride,Cote | green | male
25 | Morris,Donovan | green | male
25 | Stephens,Gross | brown | male
24 | Chan,Bradshaw | brown | male
24 | England,Tanner | brown | male
24 | Gill,Socorro | green | female
24 | Griffin,Christine | brown | female
24 | Hanson,Karin | green | female
24 | Hickman,Bentley | green | male
24 | Hill,Jeanette | green | female
24 | Marquez,Solis | green | male
24 | Prince,Rachelle | green | female
24 | Strong,Hollie | blue | female
24 | Vang,Bernice | blue | female
23 | Abbott,Erika | green | female
23 | Blake,Consuelo | blue | female
23 | Briggs,Mccarthy | green | male
23 | Burch,Webb | blue | male
23 | Carlson,Livingston | green | male
23 | Craig,Price | blue | male
23 | Fields,Nita | brown | female
23 | Galloway,Glass | blue | male
23 | Keller,Rose | green | female
23 | Landry,Shelton | brown | male
23 | Mcpherson,Jarvis | blue | male
23 | Mercado,Tara | blue | female
23 | Molina,Brooks | green | male
23 | Oneal,Jamie | brown | female
23 | Rosario,Corine | blue | female
23 | Snyder,Tami | blue | female
23 | Stout,Swanson | brown | male
22 | Alvarez,Kristin | green | female
22 | Avila,Houston | green | male
22 | Bean,Terry | blue | female
22 | Chase,Wilder | green | male
22 | Heath,Stein | green | male
22 | Holland,Dawson | blue | male
22 | Ingram,Lara | brown | male
22 | Johns,Knight | green | male
22 | Lee,Alison | brown | female
22 | Lee,Rosalind | blue | female
22 | Noble,Helga | brown | female
22 | Norman,Olson | blue | male
22 | Oneal,Carney | brown | male
22 | Padilla,Christy | brown | female
22 | Pugh,Melissa | brown | female
22 | Reyes,Stanton | blue | male
22 | Rowe,Franklin | brown | male
22 | Shepherd,Romero | blue | male
22 | Walsh,Josephine | green | female
